,City,Province,Population,Area,Density,Income,URL,Latitude,Longitude
147,'s-Hertogenbosch,Noord-Brabant,153434,84.63,1783.7,13900,https://nl.wikipedia.org/wiki/%27s-Hertogenbosch_(gemeente),51.689166666667,5.3030555555556
148,Heumen,Gelderland,16440,39.89,410.2,14000,https://nl.wikipedia.org/wiki/Heumen_(gemeente),51.765555555556,5.8433333333333
149,Heusden,Noord-Brabant,43756,78.88,546.5,13200,https://nl.wikipedia.org/wiki/Heusden_(gemeente),51.704166666667,5.1686111111111
150,Hillegom,Zuid-Holland,21929,12.87,1637.3,14100,https://nl.wikipedia.org/wiki/Hillegom,52.291666666667,4.5794444444444
151,Hilvarenbeek,Noord-Brabant,15350,94.92,159.0,13700,https://nl.wikipedia.org/wiki/Hilvarenbeek_(gemeente),51.486111111111,5.1366666666667
152,Hilversum,Noord-Holland,89660,45.59,1910.8,15100,https://nl.wikipedia.org/wiki/Hilversum,52.223611111111,5.1780555555556
153,Hof van Twente,Overijssel,34880,213.18,163.8,13100,https://nl.wikipedia.org/wiki/Hof_van_Twente,52.236313888889,6.5902527777778
154,Hollands Kroon,Noord-Holland,47615,357.6,132.9,12759,https://nl.wikipedia.org/wiki/Hollands_Kroon_(gemeente),52.878255555556,4.8113888888889
155,Hoogeveen,Drenthe,55647,127.77,430.0,11900,https://nl.wikipedia.org/wiki/Hoogeveen_(gemeente),52.716666666667,6.4666666666667
156,Hoorn (Noord-Holland),Noord-Holland,72970,19.31,3723.2,13300,https://nl.wikipedia.org/wiki/Hoorn_(Noord-Holland),52.652222222222,5.0663888888889
157,Horst aan de Maas,Limburg,42243,188.6,224.0,12600,https://nl.wikipedia.org/wiki/Horst_aan_de_Maas,51.436944444444,6.1061111111111
158,Houten,Utrecht,49761,55.71,873.8,14200,https://nl.wikipedia.org/wiki/Houten,52.026111111111,5.1727777777778
159,Huizen,Noord-Holland,41241,15.77,2614.6,14700,https://nl.wikipedia.org/wiki/Huizen,52.299444444444,5.2530555555556
160,Hulst,Zeeland,27503,201.48,136.0,13100,https://nl.wikipedia.org/wiki/Hulst_(gemeente),51.315833333333,4.0538888888889
161,IJsselstein,Utrecht,34181,21.17,1606.1,13900,https://nl.wikipedia.org/wiki/IJsselstein,52.02,5.0422222222222
162,Kaag en Braassem,Zuid-Holland,26661,63.47,407.6,,https://nl.wikipedia.org/wiki/Kaag_en_Braassem,52.2025,4.6313888888889
163,Kampen,Overijssel,53372,141.34,365.0,11800,https://nl.wikipedia.org/wiki/Kampen_(gemeente),52.55,5.9
164,Kapelle,Zeeland,12712,37.14,338.6,12900,https://nl.wikipedia.org/wiki/Kapelle_(gemeente),51.5,3.95
165,Katwijk (Zuid-Holland),Zuid-Holland,65023,24.65,2595.5,12500,https://nl.wikipedia.org/wiki/Katwijk_(Zuid-Holland),52.200833333333,4.4152777777778
166,Kerkrade,Limburg,45612,21.93,2112.7,12000,https://nl.wikipedia.org/wiki/Kerkrade_(gemeente),50.864722222222,6.0605555555556
167,Koggenland,Noord-Holland,22688,80.85,277.1,13300,https://nl.wikipedia.org/wiki/Koggenland,52.648897222222,4.9397277777778
168,Kollumerland en Nieuwkruisland,Friesland,12760,109.89,116.5,11200,https://nl.wikipedia.org/wiki/Kollumerland_en_Nieuwkruisland,53.299697222222,6.1770638888889
169,Korendijk,Zuid-Holland,11154,77.91,138.1,13400,https://nl.wikipedia.org/wiki/Korendijk,51.759166666667,4.3122222222222
170,Krimpen aan den IJssel,Zuid-Holland,29286,7.83,3694.8,13900,https://nl.wikipedia.org/wiki/Krimpen_aan_den_IJssel,51.916666666667,4.6
171,Krimpenerwaard,Zuid-Holland,55660,161.3,336.6,,https://nl.wikipedia.org/wiki/Krimpenerwaard_(gemeente),51.983333333333,4.7833333333333
172,Laarbeek,Noord-Brabant,22206,55.36,395.7,13000,https://nl.wikipedia.org/wiki/Laarbeek_(gemeente),51.516111111111,5.6208333333333
173,Landerd,Noord-Brabant,15440,70.4,216.8,12900,https://nl.wikipedia.org/wiki/Landerd,51.718611111111,5.655
174,Landgraaf,Limburg,37607,24.6,1521.6,12500,https://nl.wikipedia.org/wiki/Landgraaf_(gemeente),50.908333333333,6.0297222222222
175,Landsmeer,Noord-Holland,11440,22.54,481.5,15500,https://nl.wikipedia.org/wiki/Landsmeer,52.466111111111,4.9230555555556
176,Langedijk,Noord-Holland,27914,24.15,1129.1,13500,https://nl.wikipedia.org/wiki/Langedijk,52.693611111111,4.7944444444444
177,Lansingerland,Zuid-Holland,61257,54.0,1077.0,14600,https://nl.wikipedia.org/wiki/Lansingerland,51.998611111111,4.5038888888889
178,Laren (Noord-Holland),Noord-Holland,11176,12.22,890.2,20000,https://nl.wikipedia.org/wiki/Laren_(Noord-Holland),52.2564,5.22475
179,Leek (Groningen),Groningen,19680,63.57,306.3,12400,https://nl.wikipedia.org/wiki/Leek_(Groningen),53.15,6.3833333333333
180,Leerdam,Zuid-Holland,21069,33.79,609.9,12400,https://nl.wikipedia.org/wiki/Leerdam_(hoofdbetekenis),51.893888888889,5.0913888888889
181,Leeuwarden,Friesland,122335,151.7,711.0,12300,https://nl.wikipedia.org/wiki/Leeuwarden_(gemeente),53.192047222222,5.7966611111111
182,Leiden,Zuid-Holland,124294,21.95,5546.9,13700,https://nl.wikipedia.org/wiki/Leiden_(hoofdbetekenis),52.157222222222,4.4925
183,Leiderdorp,Zuid-Holland,27189,11.73,2296.5,14900,https://nl.wikipedia.org/wiki/Leiderdorp,52.161666666667,4.5283333333333
184,Leidschendam-Voorburg,Zuid-Holland,75017,32.82,2258.0,15600,https://nl.wikipedia.org/wiki/Leidschendam-Voorburg,52.09,4.39
185,Lelystad,Flevoland,77495,234.13,326.0,12400,https://nl.wikipedia.org/wiki/Lelystad,52.507777777778,5.4794444444444
186,Leudal,Limburg,35709,162.93,222.5,13200,https://nl.wikipedia.org/wiki/Leudal_(gemeente),51.250741666667,5.8969111111111
187,Leusden,Utrecht,29708,58.68,496.1,15100,https://nl.wikipedia.org/wiki/Leusden,52.133055555556,5.4297222222222
188,Lingewaal,Gelderland,11170,50.59,218.6,13400,https://nl.wikipedia.org/wiki/Lingewaal,51.883333333333,5.1166666666667
189,Lingewaard,Gelderland,46313,62.72,730.4,12900,https://nl.wikipedia.org/wiki/Lingewaard,51.9,5.9
190,Lisse,Zuid-Holland,22756,15.7,1436.1,13700,https://nl.wikipedia.org/wiki/Lisse,52.259722222222,4.5611111111111
191,Lochem,Gelderland,33580,213.31,155.9,14500,https://nl.wikipedia.org/wiki/Lochem_(gemeente),52.160555555556,6.4325
