,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
74,Delft,Café,Bar,Coffee Shop,Restaurant,Supermarket,0,Zuid-Holland,102230,23.21,4352.5,13000,https://nl.wikipedia.org/wiki/Delft,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Delft.svg,52.011111111111,4.3575
75,Delfzijl,Restaurant,Steakhouse,Fish Market,Seafood Restaurant,Shopping Mall,3,Groningen,24759,132.47,191.4,12100,https://nl.wikipedia.org/wiki/Delfzijl,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Delfzijl.svg,53.333333333333,6.9166666666667
76,Den Haag,Park,Café,Plaza,Restaurant,Gym,4,Zuid-Holland,534158,82.66,6231.3,13400,https://nl.wikipedia.org/wiki/Den_Haag,https://nl.wikipedia.org/wiki/Bestand:Flag_of_The_Hague.svg,52.095555555556,4.3163888888889
77,Den Helder,Café,Restaurant,Hotel,Beach,Museum,2,Noord-Holland,55559,45.43,1244.3,12600,https://nl.wikipedia.org/wiki/Den_Helder,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Den_Helder.svg,52.958333333333,4.7588888888889
78,Deurne (Nederlandse gemeente),Restaurant,Snack Place,Resort,Park,Food,3,Noord-Brabant,32177,119.02,266.9,12800,https://nl.wikipedia.org/wiki/Deurne_(Nederlandse_gemeente),https://nl.wikipedia.org/wiki/Bestand:Deurne_vlag.svg,51.463888888889,5.7947222222222
79,Deventer (gemeente),Bar,Gastropub,Restaurant,Supermarket,Movie Theater,1,Overijssel,99630,131.31,750.9,12500,https://nl.wikipedia.org/wiki/Deventer_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Deventer_vlag.svg,52.25,6.15
80,Diemen,Soccer Field,Park,Café,Supermarket,French Restaurant,4,Noord-Holland,28654,11.99,2225.8,14100,https://nl.wikipedia.org/wiki/Diemen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Diemen_(municipality).svg,52.343888888889,4.9625
81,Dinkelland,Restaurant,Café,Bar,Shopping Mall,History Museum,2,Overijssel,26305,175.78,147.6,12400,https://nl.wikipedia.org/wiki/Dinkelland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dinkelland.svg,52.366666666667,7.0
82,Doesburg,Restaurant,Café,Diner,Art Gallery,Scenic Lookout,2,Gelderland,11283,11.64,978.6,12600,https://nl.wikipedia.org/wiki/Doesburg,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Doesburg.svg,52.016666666667,6.1333333333333
83,Doetinchem (gemeente),Bar,Restaurant,Ice Cream Shop,Gastropub,Café,3,Gelderland,57392,79.14,714.4,12700,https://nl.wikipedia.org/wiki/Doetinchem_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Doetinchem.svg,51.966666666667,6.2833333333333
84,Dongen (gemeente),Bar,Diner,Café,Ice Cream Shop,Auto Garage,3,Noord-Brabant,25853,29.34,863.9,12900,https://nl.wikipedia.org/wiki/Dongen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dongen.svg,51.625833333333,4.9433333333333
85,Dongeradeel,Restaurant,Supermarket,Hotel,Soccer Field,Scenic Lookout,3,Friesland,23791,167.27,143.2,11400,https://nl.wikipedia.org/wiki/Dongeradeel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dongeradeel.svg,53.360386111111,6.0452277777778
86,Dordrecht,Café,Restaurant,Ice Cream Shop,Supermarket,Fast Food Restaurant,0,Zuid-Holland,118307,79.53,1496.4,12900,https://nl.wikipedia.org/wiki/Dordrecht,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dordrecht.svg,51.8,4.6666666666667
87,Drechterland (gemeente),Supermarket,Pizza Place,French Restaurant,Diner,Restaurant,3,Noord-Holland,19426,59.17,326.4,13800,https://nl.wikipedia.org/wiki/Drechterland_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Drechterland_vlag.svg,52.695,5.1752777777778
88,Drimmelen (gemeente),Supermarket,Restaurant,Café,Soccer Field,Gastropub,4,Noord-Brabant,27073,96.24,277.5,13700,https://nl.wikipedia.org/wiki/Drimmelen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Drimmelen_vlag.svg,51.694444444444,4.7972222222222
